title,synopsis,genres
Ansatsu Kyoushitsu,"['mysterious', 'creature', 'permanent', 'crescent', 'students', 'kunugigaoka', 'middle', 'themselves', 'confronted', 'enormous', 'assassinate', 'creature', 'responsible', 'disaster', 'before', 'suffers', 'similar', 'however', 'monster', 'dubbed', 'sensei', 'indestructible', 'teacher', 'speeds', 'demonstrates', 'freely', 'leaving', 'attempt', 'subdue', 'extraterrestrial', 'furthermore', 'misfits', 'strange', 'tentacled', 'indomitable', 'teacher', 'adapted', 'humorous', 'yuusei', 'matsui', 'ansatsu', 'kyoushitsu', 'junior', 'pupils', 'polish', 'assassination', 'skills', 'strong', 'against', 'oppressive', 'system', 'problems', 'sensei', 'written', 'rewrite']","['Action', 'Comedy', 'School', 'Shounen']"
Mob Psycho 100,"['eighth', 'grader', 'shigeo', 'kageyama', 'tapped', 'wellspring', 'psychic', 'prowess', 'quickly', 'proves', 'liability', 'realizes', 'potential', 'danger', 'skills', 'choosing', 'suppress', 'present', 'ability', 'impress', 'longtime', 'tsubomi', 'tricks', 'effectuate', 'control', 'skills', 'enlists', 'himself', 'arataka', 'reigen', 'artist', 'claiming', 'psychic', 'exploits', 'powers', 'pocket', 'change', 'exorcising', 'spirits', 'command', 'become', 'monotonous', 'however', 'psychic', 'energy', 'exerts', 'barely', 'iceberg', 'potential', 'unrestrained', 'emotions', 'berserk', 'cataclysmic', 'render', 'completely', 'unrecognizable', 'triggered', 'progression', 'toward', 'explosion', 'rising', 'attempting', 'futile', 'written', 'rewrite']","['Action', 'Slice of Life', 'Comedy', 'Supernatural']"
Boku no Hero Academia 3rd Season,"['summer', 'arrives', 'students', 'academy', 'superheroes', 'training', 'efforts', 'become', 'renowned', 'heroes', 'forest', 'training', 'heroes', 'students', 'another', 'battle', 'through', 'dangerous', 'improving', 'abilities', 'pushing', 'limits', 'however', 'suddenly', 'turned', 'upside', 'league', 'villains', 'arrives', 'invading', 'mission', 'capture', 'students', 'academia', 'season', 'follows', 'midoriya', 'ambitious', 'student', 'training', 'achieve', 'becoming', 'similar', 'students', 'caught', 'amidst', 'villain', 'attack', 'classmates', 'survival', 'written', 'rewrite']","['Action', 'Comedy', 'School', 'Shounen', 'Super Power']"
Hataraku Maou-sama!,"['striking', 'hearts', 'mortals', 'begins', 'conquer', 'armies', 'however', 'embarking', 'brutal', 'continent', 'efforts', 'foiled', 'emilia', 'forcing', 'retreat', 'through', 'dimensional', 'portal', 'general', 'alsiel', 'himself', 'stranded', 'modern', 'return', 'complete', 'subjugation', 'powerless', 'without', 'assumes', 'begins', 'working', 'mgronald', 'restaurant', 'realizes', 'conquering', 'enough', 'determined', 'corporate', 'ladder', 'become', 'satisfied', 'customer', 'whether', 'household', 'chores', 'simply', 'trying', 'hataraku', 'presents', 'hilarious', 'mundane', 'aspects', 'everyday', 'through', 'hapless', 'written', 'rewrite']","['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"['bustling', 'orario', 'especially', 'cranel', 'become', 'greatest', 'adventurer', 'chance', 'encounter', 'lonely', 'goddess', 'hestia', 'dreams', 'become', 'little', 'closer', 'reality', 'support', 'embarks', 'fantastic', 'ventures', 'within', 'monster', 'filled', 'catacombs', 'dungeon', 'around', 'corner', 'cavernous', 'depths', 'terrifying', 'labyrinth', 'mysterious', 'amidst', 'shadows', 'surface', 'survival', 'earned', 'privilege', 'indeed', 'nothing', 'certain', 'humans', 'together', 'especially', 'struggle', 'though', 'myriad', 'blunders', 'triumphs', 'friendships', 'awaits', 'dauntlessly', 'optimistic', 'protagonist', 'herculean', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Romance', 'Fantasy']"
Noragami Aragoto,"['yukine', 'finally', 'mended', 'relationship', 'regalia', 'everyone', 'returned', 'remains', 'unknown', 'continues', 'taking', 'apiece', 'having', 'millions', 'worshippers', 'shrine', 'hiyori', 'enjoys', 'prepares', 'attend', 'nonetheless', 'taking', 'immediately', 'season', 'noragami', 'aragoto', 'delves', 'complicated', 'between', 'bishamon', 'female', 'mysterious', 'grudge', 'against', 'results', 'violent', 'clashes', 'between', 'bishamon', 'trusted', 'beloved', 'regalia', 'kazuma', 'appears', 'indebted', 'unraveling', 'mysteries', 'others', 'correct', 'mistakes', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']"
High School DxD,"['student', 'hyoudou', 'pervert', 'nothing', 'productive', 'peeping', 'dreaming', 'having', 'things', 'looking', 'beautiful', 'although', 'fallen', 'brutally', 'however', 'second', 'chance', 'beautiful', 'senior', 'student', 'gremory', 'revives', 'servant', 'recruiting', 'occult', 'research', 'slowly', 'adjusting', 'survive', 'violent', 'angels', 'devils', 'hilarious', 'risqué', 'moments', 'comrades', 'keeping', 'secret', 'friends', 'family', 'written', 'rewrite']","['Comedy', 'Demons', 'Ecchi', 'Harem', 'Romance', 'School']"
Clannad: After Story,"['clannad', 'sequel', 'critically', 'acclaimed', 'series', 'clannad', 'begins', 'tomoya', 'okazaki', 'nagisa', 'furukawa', 'graduate', 'together', 'experience', 'emotional', 'rollercoaster', 'growing', 'unable', 'decide', 'course', 'future', 'tomoya', 'learns', 'strong', 'discovers', 'strength', 'nagisa', 'support', 'through', 'couple', 'dedication', 'purpose', 'forward', 'confront', 'personal', 'problems', 'deepen', 'relationships', 'create', 'illusionary', 'plains', 'approach', 'winter', 'illusionary', 'garbage', 'presented', 'difficult', 'situation', 'reveals', 'purpose', 'visual', 'produced', 'animation', 'clannad', 'impactful', 'highlighting', 'importance', 'family', 'struggles', 'adulthood', 'written', 'rewrite']","['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']"
Chuunibyou demo Koi ga Shitai!,"['everybody', 'thought', 'themselves', 'special', 'different', 'masses', 'ordinary', 'humans', 'seeing', 'themselves', 'capable', 'wielding', 'mystical', 'powers', 'believe', 'themselves', 'descended', 'disease', 'chuunibyou', 'source', 'embarrassing', 'moments', 'person', 'togashi', 'chuunibyou', 'behind', 'having', 'master', 'during', 'middle', 'extreme', 'embarrassment', 'decides', 'attend', 'nobody', 'recognize', 'putting', 'history', 'behind', 'normal', 'unfortunately', 'escaped', 'takanashi', 'classmate', 'declared', 'vessel', 'wicked', 'eccentric', 'crashes', 'ordinary', 'chuunibyou', 'quickly', 'crumbles', 'hilarious', 'heartwarming', 'embarrassing', 'memories', 'behind', 'delusions', 'written', 'rewrite']","['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']"
Haikyuu!!,"['inspired', 'watching', 'volleyball', 'nicknamed', 'little', 'statured', 'shouyou', 'hinata', 'revives', 'volleyball', 'middle', 'formed', 'tournament', 'however', 'brutally', 'squashed', 'kageyama', 'hinata', 'surpass', 'kageyama', 'graduating', 'middle', 'karasuno', 'volleyball', 'kageyama', 'teammate', 'thanks', 'height', 'hinata', 'struggles', 'superior', 'jumping', 'surprisingly', 'kageyama', 'problems', 'hinata', 'learning', 'together', 'appears', 'successful', 'haruichi', 'furudate', 'popular', 'haikyuu', 'exhilarating', 'emotional', 'following', 'determined', 'athletes', 'attempt', 'heated', 'rivalry', 'volleyball', 'written', 'rewrite']","['Comedy', 'Sports', 'Drama', 'School', 'Shounen']"
